feature,value,prediction
days_since_2011,8.3,2700.614493006709
days_since_2011,20.425423728813563,2729.3896593876616
days_since_2011,32.55084745762712,2748.383907867012
days_since_2011,44.67627118644069,2789.368753258862
days_since_2011,56.801694915254245,2827.8768477870003
days_since_2011,68.9271186440678,2845.410726710077
days_since_2011,81.05254237288136,2902.9189472975486
days_since_2011,93.17796610169492,2966.1474736785012
days_since_2011,105.30338983050848,3094.6894889662444
days_since_2011,117.42881355932204,3544.378605862882
days_since_2011,129.5542372881356,3597.509323500218
days_since_2011,141.67966101694918,3623.9144014369613
days_since_2011,153.80508474576274,3629.2273247702947
days_since_2011,165.9305084745763,3637.0124788020407
days_since_2011,178.05593220338986,3641.464263621088
days_since_2011,190.18135593220342,3641.8458491262236
days_since_2011,202.30677966101698,3653.2879650074337
days_since_2011,214.43220338983053,3664.3639690391797
days_since_2011,226.5576271186441,3665.2656638487038
days_since_2011,238.68305084745765,3677.2693136677512
days_since_2011,250.8084745762712,3680.0094158971883
days_since_2011,262.93389830508477,3684.0557239826585
days_since_2011,275.05932203389835,3718.878586427103
days_since_2011,287.1847457627119,3719.3954398157143
days_since_2011,299.31016949152547,3681.326574836471
days_since_2011,311.435593220339,3665.9464804483264
days_since_2011,323.5610169491526,3601.2354013610247
days_since_2011,335.6864406779661,3606.0352546388026
days_since_2011,347.8118644067797,3597.7692257926487
days_since_2011,359.93728813559323,3566.2313596021727
days_since_2011,372.0627118644068,3773.5177261263616
days_since_2011,384.18813559322035,3837.3729851612825
days_since_2011,396.31355932203394,3969.5202093300604
days_since_2011,408.4389830508475,4250.8091590847525
days_since_2011,420.56440677966106,4279.264701204411
days_since_2011,432.68983050847464,4660.345585510944
days_since_2011,444.8152542372882,5153.027660070061
days_since_2011,456.94067796610176,5219.009853960184
days_since_2011,469.0661016949153,5231.766397537718
days_since_2011,481.1915254237289,5227.009290784471
days_since_2011,493.3169491525424,5253.02687722603
days_since_2011,505.442372881356,5350.199461668476
days_since_2011,517.5677966101695,5377.5572306039985
days_since_2011,529.693220338983,5430.345870032569
days_since_2011,541.8186440677966,5430.470541442407
days_since_2011,553.9440677966102,5439.0447402653035
days_since_2011,566.0694915254237,5462.6474285510185
days_since_2011,578.1949152542372,5502.270594432471
days_since_2011,590.3203389830509,5457.508693144053
days_since_2011,602.4457627118644,5491.714275377055
days_since_2011,614.5711864406779,5520.009745883813
days_since_2011,626.6966101694916,5566.325511090734
days_since_2011,638.8220338983051,5564.627854338598
days_since_2011,650.9474576271186,5580.653265290978
days_since_2011,663.0728813559322,5565.391795624312
days_since_2011,675.1983050847458,5322.869736141628
days_since_2011,687.3237288135593,5282.787603697184
days_since_2011,699.4491525423729,5252.216427746967
days_since_2011,711.5745762711864,5243.1007290803
days_since_2011,723.7,4787.108540999159
temp,0.1460436,3073.1440153699677
temp,0.1575682847457627,3074.402641369968
temp,0.1690929694915254,3074.947304703301
temp,0.18061765423728815,3083.2984691990277
temp,0.19214233898305086,3097.5223558397206
temp,0.20366702372881357,3102.062427173054
temp,0.2151917084745763,3115.32097283972
temp,0.226716393220339,3136.799665442895
temp,0.23824107796610172,3158.3485631083404
temp,0.24976576271186443,3172.9434198723934
temp,0.26129044745762714,3254.4606355915635
temp,0.2728151322033899,3309.5353055482733
temp,0.28433981694915256,3512.4055153395407
temp,0.2958645016949153,3545.0599467522393
temp,0.30738918644067803,3548.331167989113
temp,0.31891387118644077,3586.321330797194
temp,0.33043855593220345,3617.669215887215
temp,0.34196324067796613,3662.180617776432
temp,0.35348792542372887,3709.4054210708046
temp,0.3650126101694916,3729.051597592283
temp,0.37653729491525434,3742.336315323885
temp,0.388061979661017,3859.1024107523654
temp,0.39958666440677976,3895.1686554909165
temp,0.41111134915254244,3911.8075205312093
temp,0.4226360338983052,4070.765024048907
temp,0.4341607186440679,4232.661434781928
temp,0.4456854033898306,4346.669079838698
temp,0.45721008813559333,4456.757212231083
temp,0.46873477288135607,4652.406405958457
temp,0.48025945762711875,4721.644515019137
temp,0.4917841423728815,4744.755694295623
temp,0.5033088271186441,4769.456809947365
temp,0.514833511864407,4853.808725330825
temp,0.5263581966101696,4898.6884967752685
temp,0.5378828813559323,4907.01545588638
temp,0.549407566101695,4932.075401540348
temp,0.5609322508474577,4935.554134651459
temp,0.5724569355932205,4929.516492302253
temp,0.5839816203389832,4941.0999541911415
temp,0.5955063050847459,4948.205655421911
temp,0.6070309898305086,4971.751562069212
temp,0.6185556745762714,4967.954398069212
temp,0.6300803593220341,4967.331883268446
temp,0.6416050440677967,4975.727315259899
temp,0.6531297288135596,4967.289063007798
temp,0.6646544135593222,4973.401663261767
temp,0.6761790983050848,4964.8303449443065
temp,0.6877037830508477,4962.599609388751
temp,0.6992284677966103,4955.48695872064
temp,0.7107531525423731,4942.904186478217
temp,0.7222778372881358,4942.541551065316
temp,0.7338025220338984,4919.116218422514
temp,0.7453272067796612,4898.5205491860015
temp,0.7568518915254239,4884.874469979652
temp,0.7683765762711867,4830.460467326024
temp,0.7799012610169493,4825.860184897452
temp,0.7914259457627122,4805.218683329759
temp,0.8029506305084748,4778.67999731877
temp,0.8144753152542374,4728.1912507896695
temp,0.8260000000000003,4684.885386623638
hum,0.3121251,4392.47108376191
hum,0.3225622491525424,4395.5969757619105
hum,0.33299939830508474,4402.496891761911
hum,0.34343654745762714,4409.358398428577
hum,0.3538736966101695,4415.114367761911
hum,0.3643108457627119,4418.047594873022
hum,0.37474799491525423,4415.603442206355
hum,0.38518514406779664,4413.388344206355
hum,0.395622293220339,4414.1424033578705
hum,0.4060594423728814,4414.363108024537
hum,0.41649659152542373,4408.641417218676
hum,0.42693374067796613,4405.197087218676
hum,0.43737088983050854,4411.799234012326
hum,0.4478080389830509,4419.313656583756
hum,0.45824518813559323,4419.3156995129375
hum,0.46868233728813563,4412.151693985786
hum,0.47911948644067803,4421.121043555771
hum,0.4895566355932204,4424.54004982736
hum,0.4999937847457627,4428.830972446841
hum,0.5104309338983051,4424.576852882711
hum,0.5208680830508475,4422.513897880714
hum,0.5313052322033899,4416.729108909982
hum,0.5417423813559322,4413.192484676215
hum,0.5521795305084747,4410.392390201088
hum,0.562616679661017,4402.364855677279
hum,0.5730538288135594,4398.587903827351
hum,0.5834909779661017,4404.2510815459655
hum,0.5939281271186441,4403.5031683249645
hum,0.6043652762711865,4398.364861417775
hum,0.6148024254237289,4393.263384084441
hum,0.6252395745762713,4387.239150648544
hum,0.6356767237288137,4373.99496023296
hum,0.646113872881356,4354.245139476827
hum,0.6565510220338984,4321.092561865536
hum,0.6669881711864407,4311.0356302682085
hum,0.6774253203389832,4286.0700697472
hum,0.6878624694915255,4254.661989829302
hum,0.698299618644068,4244.220630188276
hum,0.7087367677966103,4201.665393428148
hum,0.7191739169491527,4209.19831105269
hum,0.729611066101695,4189.891977659083
hum,0.7400482152542374,4165.678743849559
hum,0.7504853644067797,4105.188384420988
hum,0.7609225135593222,4070.966781599587
hum,0.7713596627118645,4026.2417906423225
hum,0.781796811864407,3970.100482443188
hum,0.7922339610169493,3957.1553970383825
hum,0.8026711101694917,3950.226734371716
hum,0.813108259322034,3888.9549667927545
hum,0.8235454084745764,3833.273342102696
hum,0.8339825576271187,3793.4906687740136
hum,0.8444197067796613,3767.7816394704537
hum,0.8548568559322036,3678.374482486327
hum,0.865294005084746,3663.237225474783
hum,0.8757311542372883,3637.5042137732294
hum,0.8861683033898307,3623.900129418251
hum,0.896605452542373,3594.9776299365235
hum,0.9070426016949154,3562.8185402092504
hum,0.9174797508474577,3524.9942601313282
hum,0.9279169000000003,3478.636503772354
windspeed,0.05297346,4374.420792664346
windspeed,0.059001913220338986,4423.880020560753
windspeed,0.06503036644067797,4413.67580122742
windspeed,0.07105881966101696,4410.627275894087
windspeed,0.07708727288135594,4408.97327322742
windspeed,0.08311572610169493,4411.78623075123
windspeed,0.0891441793220339,4399.273792474094
windspeed,0.09517263254237289,4393.171083425966
windspeed,0.10120108576271188,4391.175245789602
windspeed,0.10722953898305086,4384.329169189602
windspeed,0.11325799220338985,4373.688536014999
windspeed,0.11928644542372883,4356.992747708456
windspeed,0.1253148986440678,4351.507838804784
windspeed,0.1313433518644068,4343.388358440481
windspeed,0.13737180508474578,4330.862966397746
windspeed,0.14340025830508477,4331.83675209183
windspeed,0.14942871152542375,4331.851764362892
windspeed,0.15545716474576274,4323.197717614355
windspeed,0.16148561796610172,4318.146612557306
windspeed,0.1675140711864407,4307.8688642571615
windspeed,0.1735425244067797,4313.9652383653865
windspeed,0.17957097762711868,4316.3660412066565
windspeed,0.18559943084745767,4301.6774069954445
windspeed,0.19162788406779666,4288.393204496055
windspeed,0.19765633728813561,4278.577836857145
windspeed,0.2036847905084746,4268.228180248198
windspeed,0.2097132437288136,4261.341546455237
windspeed,0.21574169694915257,4250.520054537488
windspeed,0.22177015016949156,4247.673088560577
windspeed,0.22779860338983055,4245.683323879823
windspeed,0.23382705661016953,4241.840503021438
windspeed,0.23985550983050852,4224.045090271312
windspeed,0.2458839630508475,4208.424171430042
windspeed,0.2519124162711865,4207.829786936536
windspeed,0.2579408694915255,4198.952452650821
windspeed,0.26396932271186446,4190.176248428599
windspeed,0.2699977759322034,4183.510486507031
windspeed,0.27602622915254243,4168.32480450703
windspeed,0.28205468237288145,4164.018506078459
windspeed,0.2880831355932204,4133.714447873331
windspeed,0.29411158881355937,4119.924793416455
windspeed,0.3001400420338983,4110.956105649013
windspeed,0.3061684952542374,4083.0992485689576
windspeed,0.31219694847457635,4074.5900559022907
windspeed,0.3182254016949153,4064.0419972832433
windspeed,0.32425385491525427,4047.250930235624
windspeed,0.33028230813559334,4028.8952002729975
windspeed,0.3363107613559323,4018.0446696063304
windspeed,0.34233921457627126,4004.4127223639066
windspeed,0.3483676677966102,3959.486809155393
windspeed,0.3543961210169492,3881.5926955985165
windspeed,0.36042457423728824,3819.9945361419336
windspeed,0.3664530274576272,3803.2188615814944
windspeed,0.37248148067796616,3782.076607962447
windspeed,0.3785099338983051,3779.6301986291132
windspeed,0.3845383871186442,3783.93542729578
windspeed,0.39056684033898315,3786.8381379624466
windspeed,0.3965952935593221,3788.9068472957797
windspeed,0.40262374677966106,3788.6192388855234
windspeed,0.40865220000000013,3789.4328628855233
