feature,value,prediction
bedrooms,2,555412.9172591766
bedrooms,3,537754.9626862525
bedrooms,4,536649.1295017474
bedrooms,5,535520.9574803126
bedrooms,6,528635.1501609422
bathrooms,1,486755.92891803244
bathrooms,1.25,487412.02354213776
bathrooms,1.5,505317.13761450414
bathrooms,1.75,514640.781136673
bathrooms,2,527612.6827452019
bathrooms,2.25,542679.4212816539
bathrooms,2.5,534406.3895255984
bathrooms,2.75,533812.6560935703
bathrooms,3,559097.273412822
bathrooms,3.25,666478.2597882372
bathrooms,3.5,677195.9682195979
bathrooms,3.75,712857.8407276169
bathrooms,4,712395.0219416836
sqft_living,720,340102.1700138108
sqft_living,785.0932203389831,340857.8178510055
sqft_living,850.1864406779661,342034.3781349887
sqft_living,915.2796610169491,351968.6463351761
sqft_living,980.3728813559321,353370.89999487007
sqft_living,1045.4661016949153,356831.4113800741
sqft_living,1110.5593220338983,353848.7808943618
sqft_living,1175.6525423728813,360645.0024398927
sqft_living,1240.7457627118642,370432.6913900468
sqft_living,1305.8389830508474,383557.2154541857
sqft_living,1370.9322033898304,386049.1694425293
sqft_living,1436.0254237288136,390649.54892925516
sqft_living,1501.1186440677966,394687.1803664086
sqft_living,1566.2118644067796,399951.96079283126
sqft_living,1631.3050847457625,425359.87341379863
sqft_living,1696.3983050847455,448285.06668832974
sqft_living,1761.4915254237287,464330.6280345312
sqft_living,1826.5847457627117,462077.5949689262
sqft_living,1891.677966101695,467661.661444589
sqft_living,1956.7711864406779,472712.1050466493
sqft_living,2021.8644067796608,480012.37275979435
sqft_living,2086.9576271186443,520092.6628651188
sqft_living,2152.0508474576272,518133.7110318096
sqft_living,2217.14406779661,540879.0784897693
sqft_living,2282.237288135593,548138.1672985709
sqft_living,2347.330508474576,588082.5326534034
sqft_living,2412.423728813559,588260.3715991792
sqft_living,2477.516949152542,625605.2435836926
sqft_living,2542.610169491525,650649.3500691475
sqft_living,2607.703389830508,656674.5508451218
sqft_living,2672.796610169491,630075.5050589652
sqft_living,2737.8898305084745,635759.2879014543
sqft_living,2802.9830508474574,653550.4249157729
sqft_living,2868.0762711864404,671748.9676108649
sqft_living,2933.1694915254234,722725.8960365417
sqft_living,2998.2627118644064,730586.826124475
sqft_living,3063.35593220339,739172.7203168432
sqft_living,3128.4491525423728,727645.4403876083
sqft_living,3193.5423728813557,789085.4501124087
sqft_living,3258.6355932203387,789857.3843932728
sqft_living,3323.7288135593217,883406.9740061796
sqft_living,3388.8220338983047,920572.5595607363
sqft_living,3453.915254237288,969695.6806973584
sqft_living,3519.008474576271,987524.643215306
sqft_living,3584.101694915254,1023473.8252718082
sqft_living,3649.194915254237,1107687.7097261988
sqft_living,3714.28813559322,1047968.322183332
sqft_living,3779.381355932203,1074561.5602554332
sqft_living,3844.4745762711864,1096021.5518988997
sqft_living,3909.5677966101694,1099532.4369890108
sqft_living,3974.6610169491523,1279754.5060104108
sqft_living,4039.7542372881353,1200351.7140169
sqft_living,4104.847457627118,1189072.1413411442
sqft_living,4169.940677966101,1197456.104114959
sqft_living,4235.033898305084,1235972.7237178702
sqft_living,4300.127118644068,1234889.8733652923
sqft_living,4365.22033898305,1222006.6737868036
sqft_living,4430.313559322034,1220489.6467362258
sqft_living,4495.406779661016,1225983.4952190924
sqft_living,4560.5,1228736.5707718702
floors,1,545659.9930818747
floors,1.5,546162.7271221705
floors,2,542989.7366622665
floors,2.5,567720.3325920763
floors,3,582436.8181425208
